name of hearst pattern,MRR,MAP,P@1,P@3,P@5,P@15
There are a lot of [PARENT] such as,0.00072,0.00036,0.0,0.00044,0.00033,0.00043
There were a lot of [PARENT] such as,0.00072,0.00036,0.0,0.00044,0.00033,0.00043
There are a lot of [PARENT] here such as,0.00072,0.00036,0.0,0.00044,0.00033,0.00043
Other [PARENT] such as,0.00072,0.00036,0.0,0.00044,0.00033,0.00043
My favorite [PARENT] is either,0.00072,0.00036,0.0,0.00044,0.00033,0.00043
There were a lot of [PARENT] here such as,0.00072,0.00036,0.0,0.00044,0.00033,0.00043
which includes various [PARENT] like,0.00072,0.00036,0.0,0.00044,0.00033,0.00043
Other [PARENT] especially,0.00072,0.00036,0.0,0.00044,0.00033,0.00043
which includes various [PARENT] such as,0.00072,0.00036,0.0,0.00044,0.00033,0.00043
My favorite [PARENT] is,0.00072,0.00036,0.0,0.00044,0.00033,0.00043
I know such types of [PARENT] as,0.00072,0.00036,0.0,0.00044,0.00033,0.00043
I know such kinds of [PARENT] as,0.00072,0.00036,0.0,0.00044,0.00033,0.00043
[PARENT] such as,0.00072,0.00036,0.0,0.00044,0.00033,0.00043
I know many kinds of [PARENT] for example,0.00072,0.00036,0.0,0.00044,0.00033,0.00043
Other [PARENT] for example,0.00072,0.00036,0.0,0.00044,0.00033,0.00043
[PARENT] ndmely,0.00072,0.00036,0.0,0.00044,0.00033,0.00043
I know many types of [PARENT] for example,0.00072,0.00036,0.0,0.00044,0.00033,0.00043
[PARENT] including,0.00072,0.00036,0.0,0.00044,0.00033,0.00043
There are a lot of [PARENT] for example,0.00072,0.00036,0.0,0.00044,0.00033,0.00043
which includes various [PARENT] for example,0.00072,0.00036,0.0,0.00044,0.00033,0.00043
There are a lot of [PARENT] here for example,0.00072,0.00036,0.0,0.00044,0.00033,0.00043
[PARENT] e.g.,0.00072,0.00036,0.0,0.00044,0.00033,0.00043
[PARENT] like,0.00072,0.00036,0.0,0.00044,0.00033,0.00043
[PARENT] especially,0.00072,0.00036,0.0,0.00044,0.00033,0.00043
[PARENT] for example,0.00072,0.00036,0.0,0.00044,0.00033,0.00043
[PARENT] for instance,0.00072,0.00036,0.0,0.00044,0.00033,0.00043
